datetime,open,high,low,close,volume
2026-03-17T14:20:00Z,73766.83,73766.83,73766.83,73766.83,3e-05
2026-03-17T14:25:00Z,73737.16,73897.96,73737.16,73842.99,0.4387
2026-03-17T14:30:00Z,73990.08,74082.52,73934.96,74082.52,0.0118
2026-03-17T14:35:00Z,74113.27,74174.13,74075.64,74075.64,0.01463
2026-03-17T14:40:00Z,74149.92,74282.15,74149.92,74282.15,0.07828
2026-03-17T14:45:00Z,74241.08,74370.3,74241.08,74273.55,0.02422
2026-03-17T14:50:00Z,74279.12,74296.91,74170.94,74296.91,0.00752
2026-03-17T14:55:00Z,74299.5,74381.51,74299.5,74381.51,0.10062
2026-03-17T15:00:00Z,74416.34,74864.86,74416.34,74696.0,1.0215
2026-03-17T15:05:00Z,74696.0,74696.0,74478.91,74478.91,0.15719
2026-03-17T15:10:00Z,74333.87,74345.95,74164.57,74221.87,0.09105
2026-03-17T15:15:00Z,74113.27,74217.86,74113.27,74180.19,0.01891
2026-03-17T15:20:00Z,74250.25,74290.96,74061.67,74100.0,0.17976
2026-03-17T15:25:00Z,74088.5,74115.71,74081.0,74081.0,0.01564
2026-03-17T15:30:00Z,74112.86,74146.37,73941.2,73984.7,0.01815
2026-03-17T15:35:00Z,73997.97,73997.97,73700.0,73871.5,1.34694
2026-03-17T15:40:00Z,73852.8,73926.46,73766.96,73926.46,0.05229
2026-03-17T15:45:00Z,73774.92,73774.92,73774.92,73774.92,0.00032
2026-03-17T15:50:00Z,73857.69,74013.8,73857.69,74013.8,0.01441
2026-03-17T15:55:00Z,74031.82,74031.82,73923.72,73941.77,0.02447
2026-03-17T16:00:00Z,73926.92,73981.42,73903.44,73981.42,0.18678
2026-03-17T16:05:00Z,73971.57,74109.54,73971.57,74065.96,0.12994
2026-03-17T16:10:00Z,74092.79,74156.86,74026.88,74026.88,0.03487
2026-03-17T16:15:00Z,73996.56,74206.35,73996.56,74206.35,0.03773
2026-03-17T16:20:00Z,74257.39,74353.5,74257.39,74326.42,0.00752
2026-03-17T16:25:00Z,74329.7,74329.7,74222.33,74222.33,0.0311
2026-03-17T16:30:00Z,74222.35,74222.35,74111.6,74111.6,0.02192
2026-03-17T16:35:00Z,74128.25,74129.14,74025.77,74065.05,0.02944
2026-03-17T16:40:00Z,74100.77,74156.89,74067.72,74156.89,0.04297
2026-03-17T16:45:00Z,74152.52,74163.0,74059.33,74160.3,0.0462
2026-03-17T16:50:00Z,74177.64,74267.61,74177.64,74245.16,0.0219
2026-03-17T16:55:00Z,74238.01,74238.01,74214.66,74214.66,0.00215
2026-03-17T17:00:00Z,74266.1,74294.36,74266.1,74283.85,0.0295
2026-03-17T17:05:00Z,74228.07,74260.54,74220.79,74254.64,0.00811
2026-03-17T17:10:00Z,74085.36,74202.84,74075.99,74202.84,0.02182
2026-03-17T17:15:00Z,74225.74,74225.74,74225.74,74225.74,0.00013
2026-03-17T17:20:00Z,74368.47,74421.69,74368.28,74419.01,0.02767
2026-03-17T17:25:00Z,74361.78,74361.78,74361.78,74361.78,0.00013
2026-03-17T17:30:00Z,74321.82,74362.66,74321.82,74362.66,0.00803
